open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1504670400000,4448.10000000,4505.96000000,4335.26000000,4461.29000000,166.30794200,1504684799999,734060.92994898,1510,79.00881300,349102.46296538,0
1504684800000,4476.13000000,4597.79000000,4469.82000000,4548.13000000,175.29482000,1504699199999,793406.98682728,1753,98.25274600,445363.81861372,0
1504699200000,4544.59000000,4619.47000000,4422.28000000,4619.43000000,261.59679700,1504713599999,1185456.99647709,2560,144.11303000,653752.68879593,0
1504713600000,4619.43000000,4619.43000000,4619.43000000,4619.43000000,0.00000000,1504713600000,0.00000000,0,0.00000000,0.00000000,0
1504728000000,4619.43000000,4662.87000000,4610.00000000,4619.77000000,16.74359800,1504742399999,77379.11058057,43,5.61837800,25983.81075555,0
1504742400000,4619.77000000,4661.93000000,4438.19000000,4484.03000000,87.17508600,1504756799999,393294.50278117,411,39.45666600,178328.66087398,0
1504756800000,4489.48000000,4561.90000000,4452.00000000,4510.25000000,65.94424700,1504771199999,297836.04453649,431,26.34609700,119226.85336529,0
1504771200000,4475.01000000,4649.92000000,4458.00000000,4613.94000000,92.51027700,1504785599999,422327.08597411,572,51.49474800,235606.92564684,0
1504785600000,4616.79000000,4759.25000000,4587.65000000,4755.00000000,165.20968200,1504799999999,771294.05530707,986,80.05145100,373949.59684327,0
1504800000000,4755.00000000,4788.59000000,4672.35000000,4754.21000000,52.12825200,1504814399999,246704.49904326,326,28.62136500,135702.13251973,0
1504814400000,4716.61000000,4752.12000000,4586.13000000,4691.61000000,37.46243100,1504828799999,174338.94874105,344,14.71362200,68485.07432555,0
1504828800000,4691.66000000,4735.39000000,4586.13000000,4605.05000000,45.90090300,1504843199999,212248.66521330,371,18.61278000,86010.83814007,0
1504843200000,4633.47000000,4633.47000000,4587.08000000,4619.01000000,44.83000000,1504857599999,206873.49632987,382,16.55932100,76532.17866644,0
1504857600000,4625.36000000,4699.77000000,4611.48000000,4647.53000000,36.30542500,1504871999999,169014.14200082,254,20.44651500,95238.48820084,0
1504872000000,4653.92000000,4690.83000000,4028.93000000,4348.65000000,492.15534100,1504886399999,2109067.74588639,1609,216.28386400,921629.97331233,0
1504886400000,4330.68000000,4396.49000000,4190.00000000,4190.01000000,225.12769600,1504900799999,965859.39445523,938,96.35146100,414479.93040649,0
1504900800000,4195.87000000,4334.15000000,4060.00000000,4282.80000000,287.93568100,1504915199999,1203463.78250776,1179,97.70817800,410385.88069138,0
1504915200000,4282.80000000,4338.28000000,4150.06000000,4242.01000000,204.10096800,1504929599999,863722.63956162,990,100.62014100,426091.93190436,0
1504929600000,4254.44000000,4426.62000000,4200.02000000,4321.52000000,119.28349000,1504943999999,515861.57125896,694,62.31486700,270453.83645174,0
1504944000000,4336.19000000,4345.38000000,4262.75000000,4327.63000000,59.71621000,1504958399999,257308.09212237,390,20.14807200,86958.79568024,0
1504958400000,4331.82000000,4400.60000000,4245.94000000,4276.00000000,124.77800000,1504972799999,538079.14939324,608,59.21518300,256216.57508695,0
1504972800000,4276.00000000,4281.32000000,4159.64000000,4253.70000000,100.39021500,1504987199999,424639.00316748,580,32.87765600,139122.59689959,0
1504987200000,4267.51000000,4300.00000000,4241.25000000,4258.81000000,50.51406900,1505001599999,215773.01018331,515,12.81388600,54783.27172121,0
1505001600000,4258.81000000,4279.70000000,4087.62000000,4144.00000000,97.96286900,1505015999999,408289.85255180,578,30.25345200,125781.53462997,0
1505016000000,4144.00000000,4149.00000000,3801.00000000,3988.95000000,208.62893500,1505030399999,833080.28133361,834,67.29795000,269292.94132440,0
1505030400000,3988.89000000,4100.00000000,3900.05000000,4098.79000000,105.95262300,1505044799999,426297.26514777,510,73.40090700,295505.69053673,0
1505044800000,4069.43000000,4135.48000000,4043.17000000,4094.93000000,80.23849700,1505059199999,328349.09300526,448,49.59645200,203050.35686600,0
1505059200000,4086.92000000,4283.00000000,4072.45000000,4274.32000000,103.90989800,1505073599999,437468.94007686,528,51.88642800,218825.11185864,0
1505073600000,4269.36000000,4274.32000000,4100.00000000,4130.37000000,63.68045300,1505087999999,266886.37607681,537,19.35169800,81428.40128875,0
1505088000000,4153.62000000,4334.43000000,4098.91000000,4312.05000000,234.25515700,1505102399999,995569.74979276,1117,116.41659300,494715.39720597,0
1505102400000,4320.46000000,4325.99000000,4101.32000000,4178.73000000,191.22518800,1505116799999,803505.46020881,889,75.22658800,316318.58864925,0
1505116800000,4186.88000000,4221.63000000,4115.39000000,4191.53000000,69.23985700,1505131199999,289675.95585684,581,38.76371100,162392.34254617,0
1505131200000,4191.54000000,4313.18000000,4174.97000000,4251.29000000,88.42250700,1505145599999,375730.14714415,601,46.17504700,196230.78117173,0
1505145600000,4246.43000000,4280.00000000,4158.84000000,4182.27000000,86.75553000,1505159999999,366294.16517112,635,30.70605800,129715.79875302,0
1505160000000,4187.99000000,4225.00000000,4158.85000000,4208.47000000,30.09082600,1505174399999,126067.28432779,405,14.91033300,62496.80491792,0
1505174400000,4208.60000000,4305.01000000,4201.90000000,4294.25000000,92.67635300,1505188799999,394677.90182919,1052,59.71360100,254600.82702814,0
1505188800000,4294.54000000,4394.59000000,4279.77000000,4361.00000000,152.58768400,1505203199999,662988.89908967,1382,91.32115500,396496.93530567,0
1505203200000,4361.04000000,4373.67000000,4228.50000000,4340.10000000,99.70079600,1505217599999,429374.12544912,782,35.23525000,151947.37555851,0
1505217600000,4343.01000000,4345.92000000,4230.00000000,4258.72000000,189.74054300,1505231999999,808614.91910202,1327,66.54222600,283487.55445665,0
1505232000000,4249.49000000,4280.00000000,4040.80000000,4165.50000000,284.98242900,1505246399999,1180531.31083914,1406,172.82632700,715770.32853057,0
1505246400000,4158.27000000,4202.53000000,4101.69000000,4163.72000000,59.94251400,1505260799999,249003.46698038,552,26.14211100,108712.24549112,0
1505260800000,4159.72000000,4165.38000000,3916.00000000,3936.84000000,186.04492700,1505275199999,748504.10483702,1105,70.73913800,285159.87154159,0
1505275200000,3933.21000000,3991.01000000,3796.80000000,3933.76000000,193.79314600,1505289599999,756284.45117731,793,99.69416900,390072.48761102,0
1505289600000,3914.01000000,3970.00000000,3820.00000000,3832.00000000,136.03347600,1505303999999,527009.53039618,805,36.66100400,143385.52899131,0
1505304000000,3831.01000000,3976.19000000,3760.00000000,3795.00000000,208.44724500,1505318399999,800215.07967988,1422,57.00622000,220783.78950197,0
1505318400000,3775.47000000,3991.01000000,3765.13000000,3879.81000000,136.24608900,1505332799999,531095.39018083,584,69.01433300,269090.55296143,0
1505332800000,3879.81000000,3991.01000000,3845.03000000,3944.69000000,52.89766200,1505347199999,207257.36944547,310,29.93854900,117494.21030593,0
1505347200000,3944.00000000,3993.00000000,3800.02000000,3806.00000000,112.91651400,1505361599999,438156.27108047,454,44.56770300,173961.11367705,0
1505361600000,3800.01000000,3890.00000000,3800.00000000,3869.99000000,110.94663500,1505375999999,425836.36189146,816,51.91166100,199434.31389752,0
1505376000000,3846.58000000,3889.98000000,3418.00000000,3481.02000000,473.81776300,1505390399999,1733255.43633448,2435,176.95688000,654600.28575879,0
1505390400000,3481.02000000,3666.00000000,3395.00000000,3518.00000000,423.17729000,1505404799999,1489372.27534429,2146,255.15907400,898900.67534330,0
1505404800000,3522.00000000,3533.97000000,3263.00000000,3370.00000000,326.16051500,1505419199999,1106714.97380294,1686,132.86548400,453546.64740594,0
1505419200000,3368.73000000,3450.00000000,3165.13000000,3189.02000000,218.00282600,1505433599999,720926.08615461,1529,99.69317400,331129.40026809,0
1505433600000,3188.01000000,3460.00000000,3152.01000000,3370.00000000,251.70264800,1505447999999,847379.59733367,1731,119.92117500,404677.17480693,0
1505448000000,3369.99000000,3380.00000000,3031.00000000,3148.00000000,304.93512600,1505462399999,965684.24154397,1434,101.99236800,324432.42955703,0
1505462400000,3148.00000000,3148.00000000,2817.00000000,2919.00000000,364.65350500,1505476799999,1079492.71677013,1709,188.23582300,557622.43204406,0
1505476800000,2870.90000000,3856.00000000,2870.90000000,3830.00000000,682.85976000,1505491199999,2362499.27091550,3101,407.53362500,1405140.37899089,0
1505491200000,3839.94000000,3839.98000000,3483.00000000,3702.66000000,245.94793000,1505505599999,892142.32001716,1425,100.03615900,363707.01479934,0
1505505600000,3702.30000000,3799.90000000,3658.04000000,3700.00000000,118.76752300,1505519999999,441569.04011403,1045,48.40309500,180746.23818481,0
