,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2017-09-22 07:59:59.999,1505952000000,285.10000000,287.00000000,252.10000000,257.00000000,1912.55583000,1506038399999,516193.19706080,2751,579.77742000,156157.99546750,0
2017-09-23 07:59:59.999,1506038400000,258.00000000,272.97000000,253.01000000,264.00000000,1464.51250000,1506124799999,382962.21794300,2144,612.61937000,160401.28781390,0
2017-09-24 07:59:59.999,1506124800000,259.99000000,286.23000000,255.11000000,285.93000000,2824.33572000,1506211199999,788810.32442390,3901,841.43467000,233418.25689900,0
2017-09-25 07:59:59.999,1506211200000,286.50000000,294.61000000,275.00000000,282.00000000,5575.54422000,1506297599999,1582877.48713290,8022,1314.52754000,373569.55675800,0
2017-09-26 07:59:59.999,1506297600000,282.00000000,299.00000000,281.34000000,294.42000000,5870.48035000,1506383999999,1705551.99210180,9165,1950.58866000,567363.44908810,0
2017-09-27 07:59:59.999,1506384000000,294.42000000,296.81000000,286.24000000,287.90000000,4566.92804000,1506470399999,1332125.16543960,7329,1073.93969000,313528.64125620,0
2017-09-28 07:59:59.999,1506470400000,289.91000000,313.00000000,286.13000000,309.74000000,5518.10382000,1506556799999,1641896.87436510,8208,1276.45702000,380606.46578970,0
2017-09-29 07:59:59.999,1506556800000,309.81000000,311.81000000,296.89000000,302.44000000,6600.90922000,1506643199999,2009233.88871050,10534,2210.54916000,674345.92091910,0
2017-09-30 07:59:59.999,1506643200000,302.44000000,303.00000000,274.00000000,292.22000000,11089.19902000,1506729599999,3213725.09039790,13098,5176.62946000,1501566.86151520,0
2017-10-01 07:59:59.999,1506729600000,292.62000000,307.49000000,292.22000000,304.36000000,4020.60795000,1506815999999,1214456.83804620,8168,1645.11941000,497660.50805900,0
2017-10-02 07:59:59.999,1506816000000,305.13000000,306.00000000,294.00000000,303.95000000,5060.05758000,1506902399999,1518988.30299000,8900,1496.73509000,449595.11955910,0
2017-10-03 07:59:59.999,1506902400000,303.94000000,305.00000000,295.00000000,296.50000000,3710.83747000,1506988799999,1116501.22481220,7454,1398.52021000,421273.02438230,0
2017-10-04 07:59:59.999,1506988800000,298.15000000,301.99000000,283.18000000,292.48000000,5546.85702000,1507075199999,1622460.72677460,9327,2105.27684000,616540.73369680,0
2017-10-05 07:59:59.999,1507075200000,292.47000000,297.97000000,288.00000000,291.99000000,4014.88792000,1507161599999,1176260.21718690,7233,2030.79500000,596758.05688080,0
2017-10-06 07:59:59.999,1507161600000,290.00000000,297.44000000,285.53000000,294.81000000,3412.39016000,1507247999999,994768.49540650,6125,1684.82069000,492521.57928530,0
2017-10-07 07:59:59.999,1507248000000,294.78000000,310.80000000,293.78000000,310.80000000,3541.02359000,1507334399999,1063779.35392510,6064,1965.17959000,590729.76186070,0
2017-10-08 07:59:59.999,1507334400000,309.90000000,318.50000000,303.60000000,311.01000000,2165.79076000,1507420799999,672026.66853280,4289,1031.34817000,320575.64111220,0
2017-10-09 07:59:59.999,1507420800000,311.08000000,317.07000000,309.00000000,311.07000000,2960.93198000,1507507199999,923989.78755400,6247,1069.23508000,334539.35701200,0
2017-10-10 07:59:59.999,1507507200000,311.13000000,312.13000000,286.65000000,297.19000000,4885.37863000,1507593599999,1462524.62495310,8680,1575.93338000,472759.58521280,0
2017-10-11 07:59:59.999,1507593600000,297.35000000,308.56000000,293.00000000,298.64000000,6749.27468000,1507679999999,2028540.47292730,9392,3979.86360000,1200692.03892990,0
2017-10-12 07:59:59.999,1507680000000,300.88000000,305.50000000,298.02000000,304.01000000,3724.68630000,1507766399999,1125331.50335720,4079,1923.79902000,581977.29782890,0
2017-10-13 07:59:59.999,1507766400000,304.01000000,310.00000000,302.71000000,303.99000000,7827.75596000,1507852799999,2397065.16336710,4956,3436.20226000,1053317.97155720,0
2017-10-14 07:59:59.999,1507852800000,303.52000000,353.96000000,297.00000000,337.96000000,17925.36585000,1507939199999,5832987.25591010,9898,7538.17104000,2469530.26295960,0
2017-10-15 07:59:59.999,1507939200000,337.96000000,349.80000000,335.00000000,342.00000000,7731.96469000,1508025599999,2655702.11454550,5703,3790.50687000,1304246.79199270,0
2017-10-16 07:59:59.999,1508025600000,342.00000000,348.00000000,316.17000000,337.96000000,10011.34708000,1508111999999,3326752.59711660,6822,4957.44824000,1652285.72199570,0
2017-10-17 07:59:59.999,1508112000000,337.50000000,354.00000000,332.78000000,335.19000000,8663.47097000,1508198399999,2956522.04178740,6586,4424.03339000,1511172.91294010,0
2017-10-18 07:59:59.999,1508198400000,335.18000000,336.58000000,312.65000000,315.19000000,8146.74356000,1508284799999,2638150.88929040,6837,3297.06736000,1069520.41625130,0
2017-10-19 07:59:59.999,1508284800000,315.19000000,318.00000000,284.68000000,309.70000000,12908.04540000,1508371199999,3915770.15446750,9801,6592.08304000,2005598.31414890,0
2017-10-20 07:59:59.999,1508371200000,311.52000000,315.00000000,300.00000000,308.66000000,8678.74739000,1508457599999,2675399.86024250,6769,4110.58984000,1269506.24815890,0
2017-10-21 07:59:59.999,1508457600000,308.66000000,311.18000000,302.00000000,304.51000000,8739.31764000,1508543999999,2667391.89975510,6812,3042.73881000,932164.50437130,0
2017-10-22 07:59:59.999,1508544000000,304.51000000,305.34000000,290.00000000,298.94000000,8591.63121000,1508630399999,2558677.41154280,6343,4286.76965000,1278052.92831190,0
2017-10-23 07:59:59.999,1508630400000,298.99000000,306.99000000,290.00000000,293.79000000,7173.06893000,1508716799999,2120546.54702250,5828,3305.51785000,977321.14309910,0
2017-10-24 07:59:59.999,1508716800000,293.78000000,294.60000000,272.20000000,281.09000000,9658.78404000,1508803199999,2743010.98770280,6524,5255.49466000,1493898.23833240,0
2017-10-25 07:59:59.999,1508803200000,282.27000000,310.00000000,275.50000000,297.38000000,14066.67924000,1508889599999,4253110.31958060,8026,8185.36518000,2480346.53838040,0
2017-10-26 07:59:59.999,1508889600000,295.43000000,300.00000000,281.00000000,294.49000000,9703.09261000,1508975999999,2840747.38462630,6796,4062.96246000,1191187.65210590,0
2017-10-27 07:59:59.999,1508976000000,294.10000000,299.76000000,291.03000000,294.71000000,7813.02717000,1509062399999,2306446.33373280,6557,3502.44576000,1034906.29061690,0
2017-10-28 07:59:59.999,1509062400000,294.72000000,298.10000000,292.03000000,296.33000000,6272.14802000,1509148799999,1852704.41610560,5899,2478.34843000,733169.15119110,0
2017-10-29 07:59:59.999,1509148800000,296.14000000,297.00000000,290.10000000,291.87000000,5848.86589000,1509235199999,1715796.79419360,5589,2343.52663000,688114.52484540,0
2017-10-30 07:59:59.999,1509235200000,291.86000000,309.40000000,291.86000000,305.00000000,9019.13315000,1509321599999,2716332.81538860,6947,3673.09724000,1108293.78868600,0
2017-10-31 07:59:59.999,1509321600000,305.00000000,316.00000000,302.10000000,307.25000000,8946.12026000,1509407999999,2751568.63653630,6421,4751.89487000,1464093.31403040,0
2017-11-01 07:59:59.999,1509408000000,305.95000000,309.99000000,304.01000000,304.90000000,7640.41182000,1509494399999,2347542.86483170,7744,3070.74748000,944596.83436610,0
2017-11-02 07:59:59.999,1509494400000,304.89000000,305.90000000,286.34000000,287.01000000,9843.16660000,1509580799999,2948801.70630060,12038,3264.61810000,981818.75799190,0
2017-11-03 07:59:59.999,1509580800000,287.30000000,293.00000000,274.73000000,283.12000000,13423.85720000,1509667199999,3810829.65967330,13600,4726.14435000,1347012.89710220,0
2017-11-04 07:59:59.999,1509667200000,283.12000000,307.00000000,282.00000000,304.08000000,8194.03465000,1509753599999,2400297.63478160,8973,3439.34248000,1009675.17280160,0
2017-11-05 07:59:59.999,1509753600000,304.09000000,304.99000000,292.11000000,298.04000000,7828.41744000,1509839999999,2333944.76080540,9036,3652.33313000,1089665.53387680,0
2017-11-06 07:59:59.999,1509840000000,298.10000000,302.14000000,293.13000000,295.53000000,6638.42119000,1509926399999,1974433.01351300,7513,3403.76089000,1013349.96785480,0
2017-11-07 07:59:59.999,1509926400000,295.19000000,305.58000000,290.11000000,297.97000000,7515.50103000,1510012799999,2233482.61226260,7898,2768.12495000,823872.97235370,0
2017-11-08 07:59:59.999,1510012800000,297.25000000,303.52000000,287.00000000,291.78000000,9418.57881000,1510099199999,2765345.58277720,8788,3541.77071000,1041355.93712190,0
2017-11-09 07:59:59.999,1510099200000,291.31000000,320.00000000,290.02000000,303.02000000,15961.85772000,1510185599999,4839176.80681300,14402,7621.19678000,2314876.90423270,0
2017-11-10 07:59:59.999,1510185600000,303.60000000,329.00000000,299.50000000,317.87000000,11151.29946000,1510271999999,3527294.75033460,8208,5438.08042000,1718346.82313360,0
2017-11-11 07:59:59.999,1510272000000,318.50000000,322.65000000,285.82000000,293.50000000,15597.16557000,1510358399999,4762536.58505160,9253,7799.91110000,2384691.48162940,0
2017-11-12 07:59:59.999,1510358400000,293.52000000,318.00000000,291.91000000,310.02000000,10850.16279000,1510444799999,3282643.02778610,8646,5001.69556000,1515726.73249730,0
2017-11-13 07:59:59.999,1510444800000,310.87000000,316.99000000,281.01000000,305.24000000,21123.15319000,1510531199999,6345603.77067890,13661,9589.62986000,2900669.99649220,0
2017-11-14 07:59:59.999,1510531200000,304.00000000,318.88000000,303.70000000,312.99000000,15551.67434000,1510617599999,4852265.39556490,9066,7170.70938000,2242103.28455420,0
2017-11-15 07:59:59.999,1510617600000,313.00000000,337.54000000,312.94000000,335.61000000,17709.22270000,1510703999999,5756893.45279360,11711,8919.59659000,2901086.07391940,0
2017-11-16 07:59:59.999,1510704000000,335.60000000,339.00000000,324.00000000,331.33000000,15597.16131000,1510790399999,5178507.45727470,10036,7036.50640000,2338129.61772320,0
2017-11-17 07:59:59.999,1510790400000,330.98000000,334.75000000,321.41000000,331.49000000,14145.71696000,1510876799999,4638262.26258350,9493,6014.42341000,1974043.71963710,0
2017-11-18 07:59:59.999,1510876800000,331.49000000,334.60000000,323.84000000,331.23000000,18042.02544000,1510963199999,5954175.94002110,11548,9389.65878000,3102187.46822190,0
2017-11-19 07:59:59.999,1510963200000,331.20000000,349.90000000,326.01000000,346.66000000,14361.49730000,1511049599999,4780354.33540800,10690,7672.43904000,2559237.11231930,0
2017-11-20 07:59:59.999,1511049600000,346.66000000,373.56000000,343.07000000,354.15000000,19397.74898000,1511135999999,6895884.06240290,10509,9931.92637000,3532022.48459880,0
2017-11-21 07:59:59.999,1511136000000,355.15000000,372.50000000,353.90000000,367.42000000,18277.01940000,1511222399999,6600961.95826400,11553,9171.44481000,3318132.25711670,0
2017-11-22 07:59:59.999,1511222400000,367.42000000,375.50000000,350.02000000,362.12000000,26237.64398000,1511308799999,9556690.23124020,14762,12579.43792000,4586895.60417160,0
2017-11-23 07:59:59.999,1511308800000,362.12000000,384.84000000,359.00000000,380.65000000,18121.58484000,1511395199999,6654403.08984950,10386,9745.17516000,3590374.52725740,0
2017-11-24 07:59:59.999,1511395200000,380.63000000,425.00000000,370.02000000,405.00000000,25409.00111000,1511481599999,10084943.08955680,12731,14505.14543000,5758239.63409830,0
2017-11-25 07:59:59.999,1511481600000,405.03000000,475.00000000,392.80000000,469.00000000,30398.35831000,1511567999999,13089282.21147210,15706,15383.97249000,6660202.96463250,0
2017-11-26 07:59:59.999,1511568000000,467.57000000,484.47000000,450.00000000,461.82000000,21428.63117000,1511654399999,9958206.25645530,13282,9560.74839000,4449274.46174910,0
2017-11-27 07:59:59.999,1511654400000,461.00000000,465.00000000,436.14000000,462.84000000,21691.11759000,1511740799999,9854650.94320160,13955,9455.95178000,4305399.47918360,0
2017-11-28 07:59:59.999,1511740800000,462.84000000,486.94000000,453.00000000,472.31000000,23761.11416000,1511827199999,11199192.40160950,15797,10794.57638000,5093374.57829720,0
2017-11-29 07:59:59.999,1511827200000,472.32000000,477.50000000,453.50000000,466.17000000,23967.24816000,1511913599999,11224970.93342870,12944,10904.08622000,5113522.34317900,0
2017-11-30 07:59:59.999,1511913600000,466.17000000,515.00000000,385.00000000,421.70000000,51313.49571000,1511999999999,23657537.25119300,23835,23825.39377000,11029389.68104540,0
2017-12-01 07:59:59.999,1512000000000,421.92000000,460.00000000,387.01000000,427.43000000,45184.22265000,1512086399999,19125706.00076650,22805,24018.42012000,10172953.09608460,0
2017-12-02 07:59:59.999,1512086400000,428.05000000,465.97000000,413.74000000,457.51000000,33072.21995000,1512172799999,14471054.86973500,19944,19043.24922000,8328610.98144120,0
2017-12-03 07:59:59.999,1512172800000,457.53000000,471.91000000,445.00000000,457.63000000,25796.14000000,1512259199999,11883272.79966420,18388,12336.59141000,5685998.30529220,0
2017-12-04 07:59:59.999,1512259200000,457.31000000,485.90000000,440.11000000,460.30000000,24490.05997000,1512345599999,11436416.92419770,21404,12239.10293000,5721801.05345790,0
2017-12-05 07:59:59.999,1512345600000,460.30000000,470.98000000,445.00000000,466.67000000,23182.65949000,1512431999999,10662508.84976440,20049,11708.14715000,5390172.69773930,0
2017-12-06 07:59:59.999,1512432000000,466.66000000,468.67000000,445.21000000,452.26000000,25387.11695000,1512518399999,11663673.28648950,19373,12902.22244000,5935255.77723800,0
2017-12-07 07:59:59.999,1512518400000,452.26000000,455.10000000,400.00000000,411.01000000,38638.76036000,1512604799999,16767914.25660970,24522,16000.21644000,6945785.89973760,0
2017-12-08 07:59:59.999,1512604800000,413.50000000,427.61000000,375.01000000,406.33000000,41343.73269000,1512691199999,16842079.09190120,30163,17174.99356000,7025122.81211470,0
2017-12-09 07:59:59.999,1512691200000,406.52000000,456.78000000,390.00000000,442.56000000,41064.60305000,1512777599999,17430991.95905210,42348,17149.63290000,7318210.62440880,0
2017-12-10 07:59:59.999,1512777600000,442.56000000,488.00000000,426.40000000,460.00000000,41918.34044000,1512863999999,19341744.41303860,35517,20439.87165000,9429536.53392380,0
2017-12-11 07:59:59.999,1512864000000,460.00000000,460.05000000,403.20000000,427.35000000,34919.25938000,1512950399999,15125760.61570250,32416,15317.92712000,6644966.01079370,0
2017-12-12 07:59:59.999,1512950400000,427.35000000,512.00000000,427.35000000,508.70000000,29763.16644000,1513036799999,13776239.58265010,28773,14163.91481000,6587249.84110790,0
2017-12-13 07:59:59.999,1513036800000,508.44000000,639.27000000,494.89000000,620.00000000,59387.02259000,1513123199999,33241867.03352950,66420,30066.72168000,16943769.84142550,0
2017-12-14 07:59:59.999,1513123200000,622.00000000,705.69000000,539.93000000,683.99000000,57694.18773000,1513209599999,36344921.46479940,55759,28508.57887000,18035820.05084940,0
2017-12-15 07:59:59.999,1513209600000,683.98000000,747.60000000,630.50000000,679.76000000,60919.26902000,1513295999999,41882857.09526100,51279,30685.47276000,21096463.09827190,0
2017-12-16 07:59:59.999,1513296000000,679.76000000,689.00000000,594.60000000,674.95000000,39778.16165000,1513382399999,25891535.69694390,38469,17125.09695000,11225974.59477010,0
2017-12-17 07:59:59.999,1513382400000,673.75000000,712.00000000,669.22000000,682.81000000,26866.05330000,1513468799999,18466770.73251090,25236,12518.18939000,8621540.35071790,0
2017-12-18 07:59:59.999,1513468800000,681.80000000,728.00000000,680.33000000,707.64000000,31398.44760000,1513555199999,22242667.21533620,36094,16831.51917000,11929457.90222880,0
2017-12-19 07:59:59.999,1513555200000,707.62000000,798.88000000,638.00000000,784.00000000,45673.70777000,1513641599999,32799947.57446940,40460,25894.22216000,18738099.82827320,0
2017-12-20 07:59:59.999,1513641600000,784.00000000,864.90000000,729.01000000,798.00000000,69423.62125000,1513727999999,55123972.01609010,57020,35335.29681000,28200283.21408730,0
2017-12-21 07:59:59.999,1513728000000,798.00000000,828.00000000,661.00000000,790.21000000,72526.28416000,1513814399999,55604509.75310120,58344,31819.17997000,24498518.36995670,0
2017-12-22 07:59:59.999,1513814400000,794.62000000,845.99000000,705.98000000,782.41000000,78222.53998000,1513900799999,62052521.65090250,57627,42391.62500000,33836866.12767150,0
2017-12-23 07:59:59.999,1513900800000,784.00000000,796.00000000,504.99000000,635.97000000,154630.49482000,1513987199999,98661808.48224840,113138,72411.90221000,46364952.49949940,0
2017-12-24 07:59:59.999,1513987200000,635.15000000,714.99000000,627.97000000,640.34000000,79001.05634000,1514073599999,53738833.88061430,79260,42804.08114000,29157507.58909000,0
2017-12-25 07:59:59.999,1514073600000,640.33000000,667.64000000,563.49000000,658.00000000,95431.94156000,1514159999999,59101715.15062930,108808,46121.82453000,28654615.71975550,0
2017-12-26 07:59:59.999,1514160000000,659.40000000,744.00000000,599.99000000,714.95000000,78544.84102000,1514246399999,55108579.68400840,86060,43032.95930000,30201608.57709150,0
2017-12-27 07:59:59.999,1514246400000,713.12000000,750.00000000,712.56000000,750.00000000,60052.47905000,1514332799999,44216631.90196370,78690,31422.67790000,23139437.75683630,0
2017-12-28 07:59:59.999,1514332800000,750.00000000,766.05000000,693.18000000,739.89000000,51339.27820000,1514419199999,38102246.98666030,72364,25938.69371000,19278946.19065180,0
2017-12-29 07:59:59.999,1514419200000,739.89000000,744.93000000,645.88000000,707.89000000,72679.61288000,1514505599999,50030889.11104550,94413,35865.49648000,24731619.69285810,0
2017-12-30 07:59:59.999,1514505600000,709.50000000,757.87000000,703.00000000,733.99000000,64028.12647000,1514591999999,46838775.81758080,89024,31777.71602000,23266046.75783670,0
2017-12-31 07:59:59.999,1514592000000,732.90000000,735.00000000,635.82000000,681.06000000,89879.99994000,1514678399999,61752153.66107810,123765,41572.44573000,28554635.99557210,0
2018-01-01 07:59:59.999,1514678400000,680.01000000,740.00000000,672.86000000,733.98000000,62628.24458000,1514764799999,44570894.79906170,92610,32109.79685000,22872625.29434590,0
2018-01-02 07:59:59.999,1514764800000,733.01000000,763.55000000,716.80000000,754.99000000,53909.25885000,1514851199999,40049370.59492610,75314,27993.21701000,20800946.82317060,0
2018-01-03 07:59:59.999,1514851200000,754.99000000,899.50000000,749.06000000,855.28000000,113257.78355000,1514937599999,95749946.06046560,142511,59298.38305000,50193115.72717760,0
2018-01-04 07:59:59.999,1514937600000,855.13000000,950.01000000,810.00000000,934.03000000,89041.45688000,1515023999999,78173093.71219920,118866,46899.16696000,41196862.55158440,0
2018-01-05 07:59:59.999,1515024000000,934.03000000,1009.72000000,890.01000000,940.00000000,102894.47384000,1515110399999,97740086.59030570,132633,56497.66029000,53871687.77288470,0
2018-01-06 07:59:59.999,1515110400000,940.00000000,1045.00000000,930.00000000,959.30000000,97374.01630000,1515196799999,95739901.47601940,124438,46202.53716000,45538935.01379350,0
2018-01-07 07:59:59.999,1515196800000,958.00000000,1017.56000000,950.00000000,1004.11000000,71954.27895000,1515283199999,71196052.34066790,91685,37424.43173000,37089109.96309390,0
2018-01-08 07:59:59.999,1515283200000,1003.71000000,1125.00000000,999.90000000,1123.09000000,65278.81957000,1515369599999,70126945.17356540,89192,34849.04095000,37476141.63947700,0
2018-01-09 07:59:59.999,1515369600000,1123.09000000,1239.18000000,910.00000000,1133.18000000,158831.54798000,1515455999999,176599793.21126880,171664,80909.60102000,90225877.05144800,0
2018-01-10 07:59:59.999,1515456000000,1133.18000000,1326.50000000,1104.85000000,1291.00000000,118702.88684000,1515542399999,143246762.08456970,152628,63819.94883000,77223073.25931130,0
2018-01-11 07:59:59.999,1515542400000,1291.00000000,1440.00000000,1201.10000000,1247.00000000,160185.01290000,1515628799999,210902815.46883200,191352,80897.55541000,106746349.59623190,0
2018-01-12 07:59:59.999,1515628800000,1249.03000000,1332.49000000,1021.00000000,1138.93000000,194546.29387000,1515715199999,230792205.87537420,210914,90313.17614000,107408785.96097980,0
2018-01-13 07:59:59.999,1515715200000,1136.45000000,1288.50000000,1069.01000000,1253.87000000,93763.47261000,1515801599999,113367281.76511590,117851,47727.57553000,57769541.83741000,0
2018-01-14 07:59:59.999,1515801600000,1253.87000000,1427.01000000,1252.00000000,1388.02000000,75893.43201000,1515887999999,101824625.25840410,115872,40759.98465000,54700348.39273760,0
2018-01-15 07:59:59.999,1515888000000,1388.10000000,1391.89000000,1220.89000000,1347.00000000,98391.19585000,1515974399999,128517479.71604510,124920,49243.39136000,64308202.77234540,0
2018-01-16 07:59:59.999,1515974400000,1347.99000000,1383.13000000,1258.12000000,1271.00000000,69236.70476000,1516060799999,90732886.24105530,105410,32880.54134000,43133689.39779020,0
2018-01-17 07:59:59.999,1516060800000,1268.67000000,1275.01000000,780.00000000,1000.00000000,343889.36509000,1516147199999,355819297.45705260,304696,158932.38241000,165083928.94776610,0
2018-01-18 07:59:59.999,1516147200000,999.99000000,1075.51000000,755.00000000,1000.00000000,436333.67326000,1516233599999,398063123.66295320,391331,215412.88029000,196978642.43245640,0
2018-01-19 07:59:59.999,1516233600000,1000.00000000,1075.20000000,924.21000000,994.00000000,294545.71207000,1516319999999,296964713.70633010,278162,148139.91520000,149318397.09766870,0
2018-01-20 07:59:59.999,1516320000000,993.30000000,1079.00000000,941.00000000,1032.50000000,167954.11253000,1516406399999,171217738.31622490,171662,87251.78210000,89102808.30262310,0
2018-01-21 07:59:59.999,1516406400000,1032.50000000,1165.40000000,1031.00000000,1152.75000000,123352.58362000,1516492799999,137333158.12837540,139129,59469.51440000,66105659.55948060,0
2018-01-22 07:59:59.999,1516492800000,1150.37000000,1152.69000000,998.00000000,1049.00000000,175031.00789000,1516579199999,186353755.57316150,189013,84495.91903000,90104698.15086040,0
2018-01-23 07:59:59.999,1516579200000,1049.00000000,1090.15000000,908.00000000,993.00000000,185212.52002000,1516665599999,185276703.38114570,200594,85196.91919000,85315603.86565530,0
2018-01-24 07:59:59.999,1516665600000,993.00000000,1030.00000000,909.00000000,980.00000000,160159.63958000,1516751999999,156053774.30993190,188114,77990.78030000,76164110.43130360,0
2018-01-25 07:59:59.999,1516752000000,981.20000000,1074.00000000,953.09000000,1061.00000000,134257.79470000,1516838399999,135793371.30359060,164024,65704.16239000,66618089.35354220,0
