o,h,l,c,v,qav,num_trades
3969.5,4085.0,3951.0,4035.01,116.808645,471070.13760805,844.0
4060.0,4089.97,3901.0,3971.02,163.643751,652061.07838061,1271.0
3972.0,3981.19,3830.91,3936.28,181.78173,711443.67286928,1364.0
3880.06,4032.02,3873.0,3969.01,125.448115,497852.70825689,931.0
3969.32,4029.99,3901.02,3965.01,171.194272,679036.93149045,1315.0
3970.0,4014.56,3871.99,3890.01,122.480176,484441.10193394,1165.0
3890.02,3920.0,3830.91,3910.04,137.784085,533479.70450755,1296.0
3910.04,3923.26,3843.0,3875.93,110.321379,428527.76527492,1042.0
3875.91,3988.83,3820.0,3913.89,147.874688,575758.49062031,1643.0
3913.91,3979.99,3859.31,3927.77,108.229498,425661.74015598,1189.0
3927.77,4046.08,3912.08,4005.0,127.932758,510343.63572449,1239.0
3997.5,4039.99,3962.76,3962.93,105.221655,421163.63706076,1016.0
3962.93,4000.0,3860.09,3900.0,121.355098,478129.18425158,1102.0
3889.99,3910.0,3816.63,3827.66,167.389873,645251.8676868,1331.0
3820.02,3903.28,3800.0,3885.23,109.783357,423758.9054154,1151.0
3885.23,3904.81,3835.88,3864.95,69.458389,268824.24750125,1047.0
3862.99,3879.99,3668.6,3727.44,274.620286,1034122.59777983,1916.0
3730.0,3747.48,3592.62,3605.03,205.53549,750607.12594148,1719.0
3605.03,3678.26,3567.0,3609.99,174.866689,634478.33388788,1550.0
3592.84,3697.51,3592.84,3697.51,131.713823,480636.26820385,1273.0
3693.01,3750.0,3658.46,3658.46,139.674068,518551.57673377,1403.0
3658.46,3669.0,3522.22,3539.97,151.960238,546803.52178793,1258.0
3528.36,3645.99,3505.55,3514.07,179.874633,641642.93430202,1740.0
3527.97,3590.0,3514.08,3590.0,109.500907,389028.7776681,1192.0
3590.0,3645.18,3574.7,3595.87,126.242756,455108.35423282,1286.0
3595.88,3628.0,3542.91,3605.0,95.786102,343942.60159434,1000.0
3614.87,3717.44,3600.9,3689.38,129.209377,475124.16032098,1256.0
3689.38,3798.9,3688.0,3798.0,125.642985,469984.9701257,1308.0
3798.9,3817.19,3717.57,3746.36,147.826026,556883.44838119,1385.0
3746.37,3779.52,3700.0,3779.5,146.838024,549727.91852777,1880.0
3766.41,3790.0,3718.12,3780.0,107.490277,404043.90056513,1573.0
3779.54,3789.99,3731.54,3782.9,113.26816,426526.67390034,1528.0
3782.9,3783.99,3622.76,3669.0,183.592756,677042.41748016,2006.0
3668.0,3698.4,3627.19,3683.36,105.673917,387069.83337905,1596.0
3674.22,3730.0,3674.21,3691.31,124.794529,461724.0745137,1722.0
3707.89,3707.9,3624.38,3687.36,93.458592,343255.7226861,1344.0
3665.68,3707.94,3650.7,3660.02,40.848436,150169.71424106,528.0
3660.02,3772.0,3653.69,3751.0,143.242134,532271.55829549,1526.0
3750.01,3815.74,3750.0,3780.6,142.482302,539364.59364075,1726.0
3789.5,3807.53,3747.94,3781.05,88.754998,335044.08034376,1494.0
3781.05,3945.0,3770.0,3910.01,165.387515,638366.4009571,2212.0
3915.01,3979.87,3887.8,3930.36,109.064075,427759.78737824,1680.0
3934.68,3963.0,3904.19,3920.75,79.063689,311364.43256788,1102.0
