o,h,l,c,v,qav,num_trades,EMA_7,EMA_25,EMA_99,MACD,Signal_Line,MACD_above_Signal,MACD_diff_Signal,RSI,Middle_Band,STD,Upper_Band,Lower_Band
293.14,298.6,290.11,292.81,851.76953,251221.7647722,1812.0,291.6619191197154,292.76628019739195,314.31927772912474,-4.640764895858297,-9.655589960351934,1,5.014825064493637,59.82443901871876,279.485,20.071371468626015,319.62774293725204,239.342257062748
305.42,307.49,301.21,304.01,634.20705,193607.9616214,1158.0,294.74893933978655,293.63118172066953,314.1130921745422,-3.0715647963226047,-8.338784927546069,1,5.267220131223464,66.7974009248961,279.54650000000004,20.148242779588962,319.842985559178,239.2500144408221
300.21,303.31,298.77,302.0,374.10597,112717.8852468,1014.0,296.5617045048399,294.27493697292573,313.87083033105137,-1.9674728118280314,-7.064522504402461,1,5.09704969257443,62.6874205844981,279.86850000000004,20.466578475008465,320.801656950017,238.93534304998312
300.19,301.83,295.0,296.87,430.01301,127571.7876723,1072.0,296.6387783786299,294.4745572057776,313.53081372443035,-1.4892529058926698,-5.9494685847005035,1,4.460215678807834,53.24694340727726,279.9585,20.540767236990106,321.0400344739802,238.8769655260198
291.29,293.0,288.54,291.13,681.25733,198613.8748064,1410.0,295.26158378397247,294.21728357456396,313.0827974499418,-1.5554993852208554,-5.070674744804574,1,3.5151753595837185,53.34849262818162,281.21000000000004,20.414080022325045,322.0381600446501,240.38183995534996
294.38,294.39,289.06,291.25,570.0884,166091.940218,1292.0,294.2586878379793,293.98903099190517,312.6461415009429,-1.5801027592219157,-4.372560347688043,1,2.792457588466127,51.245688003066306,284.06149999999997,17.241441896900813,318.5443837938016,249.57861620619835
295.0,297.0,293.6,296.99,640.43676,189086.7067973,1000.0,294.9415158784845,294.2198747617586,312.33301867092405,-1.1234803000008355,-3.722744338150602,1,2.5992640381497663,66.55969191270862,285.9605,16.408475818436244,318.7774516368725,253.14354836312754
301.68,303.99,300.57,302.01,505.44025,152781.9844273,954.0,296.70863690886335,294.8191151647003,312.1265582975056,-0.3524686262521186,-3.0486891957709052,1,2.6962205695187866,68.5600706713781,288.73,13.901973354811584,316.5339467096232,260.92605329037684
310.01,311.68,307.86,308.02,216.05506,66882.099024,546.0,299.5364776816475,295.8345678443387,312.04442713155544,0.7350472848188474,-2.291941899652955,1,3.026989184471802,63.004158004158,291.028,13.032815909323377,317.09363181864677,264.96236818135327
313.5,317.07,310.77,311.66,438.93374,137349.0197238,810.0,302.56735826123565,297.05190877938963,312.0367385889243,1.8690834284234938,-1.4597368340376653,1,3.328820262461159,63.628002043944825,292.211,13.795026525603427,319.80105305120685,264.6209469487932
300.01,300.92,286.65,288.26,1209.90629,354003.2580314,1986.0,298.99051869592677,296.375608104052,311.56120381714584,0.8696065218069293,-0.9938681628687465,1,1.8634746846756758,47.24085502191217,292.524,13.621072838185501,319.766145676371,265.281854323629
307.21,308.56,300.64,300.71,1641.8397,500113.6874169,1634.0,299.4203890219451,296.70902286527877,311.34417974080293,1.0697929166594236,-0.5811359469631125,1,1.650928863622536,55.60572499574032,293.15950000000004,13.69518873450385,320.54987746900775,265.7691225309923
299.86,304.77,299.2,304.03,231.30944,69888.6724494,295.0,300.5727917664588,297.272174952565,311.1978961459869,1.4792860417813358,-0.16905154921422288,1,1.6483375909955587,47.68597530368436,295.3175,11.575887768615246,318.4692755372305,272.1657244627695
306.45,308.0,302.71,305.99,1537.17222,468734.9053642,1091.0,301.9270938248441,297.9427768792908,311.09373822306713,1.9396093045773455,0.25268062154409077,1,1.6869286830332548,54.393489497415594,297.61749999999995,8.291061689998802,314.19962337999755,281.03537662000235
342.22,351.99,341.19,341.36,1974.48408,683241.3818236,1120.0,311.78532036863305,301.2825632731915,311.6990634586058,5.099696085348285,1.2220837143049297,1,3.877612371043355,70.04376186937495,300.5355,12.216324055175122,324.9681481103503,276.10285188964974
344.15,349.79,343.01,348.06,1455.54371,503239.5786651,1078.0,320.8539902764748,304.88082763679216,312.42628218943366,8.051904291532367,2.5880478297504173,1,5.463856461781949,68.88774547637423,303.68899999999996,15.650049907436753,334.9890998148735,272.38890018512643
333.55,333.91,325.15,330.36,1338.76889,441050.7507998,933.0,323.2304927073561,306.8407639724236,312.78495654564495,8.861162523824419,3.8426707685652177,1,5.018491755259201,60.71806500377929,305.4855,16.56664704983125,338.6187940996625,272.3522059003375
341.99,342.47,332.78,334.31,1392.61027,469211.0207487,944.0,326.0003695305171,308.953782128391,313.21545741473204,9.70931455739992,5.015999526332159,1,4.693315031067762,64.27699816961561,307.82349999999997,17.19006269698614,342.20362539397223,273.4433746060277
322.29,323.0,317.01,322.88,1843.85224,592664.6568149,1329.0,325.2202771478878,310.02502965697636,313.4087482664374,9.351378805273612,5.88307538212045,1,3.468303423153162,61.60368394123236,308.5355,17.517449187956288,343.5703983759126,273.50060162408744
305.1,307.5,300.01,303.04,1322.31252,401322.9950368,787.0,319.67520786091586,309.4877196833628,313.2013733011087,7.381698329331073,6.1827999715625745,1,1.1988983577684982,53.76605123618477,308.7875,17.393727204156974,343.57495440831394,274.0000455916861
305.66,311.98,304.8,306.02,1543.0624,475811.643578,980.0,316.2614058956869,309.22097201541186,313.0577458350865,5.992100254682839,6.144660028186628,0,-0.15255977350378913,52.93620342069323,309.448,17.001465138102194,343.45093027620436,275.4450697237956
305.98,308.83,303.07,305.02,1705.2157,519660.6637578,1113.0,313.45105442176515,308.8978203219187,312.89699091838474,4.755325691870951,5.866793160923493,0,-1.111467469052542,51.00500834724541,309.49850000000004,16.985955274253676,343.4704105485074,275.52658945149267
292.18,298.99,290.0,296.34,1141.28288,336007.3570524,988.0,309.17329081632386,307.9318341433096,312.5658511000171,3.039729374090939,5.301380403556982,0,-2.2616510294660426,46.16848182653195,309.21549999999996,17.163682120901896,343.5428642418037,274.8881357581962
297.34,297.71,290.55,290.56,1016.19025,298874.2904938,806.0,304.5199681122429,306.5955392092089,312.1257340780167,1.1998777932196276,4.481079881489511,0,-3.2812020882698834,43.1741718426501,308.9,17.45802967118566,343.8160593423713,273.98394065762864
279.49,284.3,275.1,283.39,1409.46653,395492.46823,936.0,299.23747608418216,304.8104977315774,311.55101939645635,-0.8272409985538616,3.4194157054808367,0,-4.246656704034699,48.23971661967758,308.51300000000003,17.951491684097153,344.41598336819436,272.6100166318057
307.84,307.85,302.5,303.42,1940.048,590736.3891364,1210.0,300.28310706313664,304.7035363676099,311.38839900852724,-0.8081774764556258,2.5738970690935448,0,-3.3820745455491705,50.92865465012681,309.1215,17.537009069543817,344.19551813908765,274.0474818609124
291.58,298.0,291.51,295.21,399.30381,117373.0793416,673.0,299.0148302973525,303.9732643393323,311.0648310283567,-1.4389604437409957,1.7713255665266368,0,-3.2102860102676325,47.07559681697613,309.03249999999997,17.606196838194844,344.24489367638967,273.8201063236103
296.11,297.41,291.03,292.98,1215.77969,357959.5307687,1140.0,297.50612272301436,303.1276286209221,310.70313440778955,-2.094656951514537,0.9981290629184021,0,-3.092786014432939,45.6940491163037,308.581,17.90894422231231,344.3988884446246,272.7631115553754
294.1,294.38,293.91,294.2,952.23361,280119.8408526,1088.0,296.67959204226077,302.4408879577743,310.37307171963374,-2.4871866148525896,0.30106592736420373,0,-2.788252542216793,29.83236400957918,307.89,18.196043815244952,344.2820876304899,271.49791236951006
292.12,295.4,292.01,293.98,831.90574,243544.1528506,803.0,296.0046940316956,301.7900504225609,310.04521028524107,-2.7839299509168427,-0.31593324829200564,0,-2.467996702624837,25.51611734878665,307.006,18.431195352045428,343.8683907040908,270.14360929590913
308.11,308.12,303.62,305.04,1193.95837,364276.7480357,1068.0,298.26352052377166,302.0400465439024,309.94510607953623,-2.102416268905415,-0.6732298524146876,0,-1.4291864164907275,37.803468208092475,307.84499999999997,17.90742936090459,343.65985872180914,272.0301412781908
306.61,307.97,305.0,305.03,1292.89049,395225.3004939,905.0,299.95514039282875,302.27004296360224,309.8468039579455,-1.5453053639802192,-0.847644954727794,0,-0.6976604092524252,35.33947526537149,308.06100000000004,17.84277441844084,343.74654883688174,272.3754511631183
305.42,307.5,304.71,305.2,933.67939,285400.3476556,1236.0,301.2663552946216,302.4954242740944,309.7538678787866,-1.0776508901615216,-0.8936461418145396,0,-0.184004748346982,40.02257336343114,308.1195,17.830776608821125,343.78105321764224,272.4579467823578
298.63,300.79,295.97,297.01,1151.37262,342307.8200551,1684.0,300.20226647096615,302.0734685607025,309.4989905212109,-1.352307346398618,-0.9853783827313554,0,-0.3669289636672626,46.08187134502923,307.6705,17.99948755849508,343.66947511699016,271.67152488300985
284.05,289.99,281.0,287.06,1416.46816,403517.0862759,1494.0,296.9166998532246,300.9185863637254,309.05021071078664,-2.3458153124373666,-1.2574657686725577,0,-1.088349543764809,38.70352716873214,304.9555,16.69862158666797,338.3527431733359,271.55825682666404
297.16,299.0,292.96,298.94,1151.50808,341238.059581,1150.0,297.42252488991846,300.76638741266964,308.84800649657086,-2.1497794987932366,-1.4359285146966934,0,-0.7138509840965432,46.79324894514769,302.4995,13.289459406453853,329.0784188129077,275.9205811870923
300.67,300.7,296.11,297.9,895.0903,266598.8664082,1357.0,297.54189366743884,300.5458960732335,308.62904636663944,-2.0546542374048613,-1.5596736592383271,0,-0.4949805781665342,50.894905920146854,300.87649999999996,11.58004239379544,324.03658478759087,277.71641521240906
295.73,297.1,294.0,294.17,548.06073,161916.6554272,702.0,296.69892025057914,300.05544252913865,308.33986543930666,-2.2542608931558448,-1.6985911060218308,0,-0.5556697871340139,52.12078486664318,298.8695,8.566972980733908,316.00344596146783,281.7355540385322
301.33,304.95,297.91,303.01,954.33105,287160.9296375,1245.0,298.2766901879344,300.28271618074336,308.2332681305205,-1.6797731061441823,-1.6948275060463012,1,0.015054399902118876,61.304448029499895,297.87600000000003,6.550878928574,310.97775785714805,284.774242142852
